Greek	Parthian	Middle Persian	Frequency in line	Line 
θεοῦ	baγ	bay	2	Line 1
θεῶν	až yazdān	az yazdān	2	Line 1
ἐκ γένους	čihr	čihr	2	Line 1
Ἀριανῶν	Ērān	Ērān	2	Line 1
βασιλέων	šāhān	šāhān	2	Line 1
εἰμί	ahēm	hēm	1	Line 1
δεσπότης	xwadāy	xwadāy	1	Line 1
τοῦ Ἀριανῶν ἔθνους	Ērānšahr	Ērānšahr	1	Line 1
βασιλέως—	šāh	šāh	1	Line 1
Παπάκου	Pābag	Pābag	1	Line 1
ἔγγονος	puhrēpuhr	nab	1	Line 1
βασιλέως	šāh	šāh	1	Line 1
Ἀρταξάρου	Ardašīr	Ardašīr	1	Line 1
μασδαασνου	mazdēzn	mazdēsn	1	Line 1
υἱὸς	puhr	pus	1	Line 1
Ἀναριανῶν	Anērān	Anērān	1	Line 1
καὶ	ud	ud	1	Line 1
βασιλεὺς	šāh	šāh	1	Line 1
Σαπώρης	Šābuhr	Šābuhr	1	Line 1
θεὸς	baγ	bay	1	Line 1
μασδαασνης	mazdēzn	mazdēsn	1	Line 1
ἐγὼ	Az	An	1	Line 1
καὶ	ud	ud	3	Line 2
— — —γηνήν	Balāsagān	Balāsagān	1	Line 2
ἔμπροσθεν	fraxš ō	frāz ō	1	Line 2
ἕως	yad	tā	1	Line 2
ὅλον	hamag	hamag	1	Line 2
πυλῶν	bar	dar	1	Line 2
Ἀλβανίαν	Ardān	Ar≺r≻ān	1	Line 2
ὄρους	kōf	kōf	1	Line 2
τὸ ὄρος	kōf	kōf	1	Line 2
Πρεσσουαρ	Parišxwār	Parišxwār	1	Line 2
Ἀλανῶν	Alānān	Alānān	1	Line 2
Καπ	Kaf	Kaf	1	Line 2
κατέχω	dārām	darēm	1	Line 2
ἔθνη	šahr	šahr	1	Line 2
Περσίδα	Pārs	Pārs	1	Line 2
Παρθίαν	Parθaw	Pahlaw	1	Line 2
Οὑζηνήν	Xūzestān	Xūzestān	1	Line 2
Μησανηνήν	Mēšān	Mēšān	1	Line 2
Ἀσσυρίαν	Asūrestān	Asūrestān	1	Line 2
Ἀδιαβηνήν	Nōdšīragān	Nōdšīragān	1	Line 2
Ἀραβίαν	Arbāyestān	Arbāyestān	1	Line 2
Μαχελονίαν	Sīgān	Sīgān	1	Line 2
Ἰβηρίαν	Wiržān	Wiruzān	1	Line 2
Ἀρμενίαν	Armin	Armin	1	Line 2
Ἀδουρβαδηνήν	Ādurbādegān	Ādurbāyagān	1	Line 2
καὶ	ud	ud	4	Line 3
τῆς θα≺λ≻άσσης	zrēh	i drayā	1	Line 3
τοῦ μέρους	ārag	ālag	1	Line 3
Μιζουν ἔθνος	Mazūnšahr	Mazūnšahr	1	Line 3
ἐκείνου	hō	ān	1	Line 3
ἐξ	až	az	1	Line 3
Τσατσηνῆς	Čāčestān	Čāčestān	1	Line 3
Σωδικηνῆς	Suγd	Sugd	1	Line 3
Κας	Kāš	Kāš	1	Line 3
ἕως	yad ō	tā ō	1	Line 3
Πασκιβουρων	Paškabūr	Paškabūr	1	Line 3
ἔμπροσθεν	fraxš ō	frāz ō	1	Line 3
ἕως	yad	tā	1	Line 3
