place_id	label	type	certainty	attestations	lines	greek_forms	parthian_forms	mp_forms	pleiades_id	pleiades_uri	pleiades_title	wikidata_qid	wikidata_uri	wikidata_label	latitude	longitude	coord_source	repo_wikidata_current	note	glossar_lemma	huyse_type	huyse_book_page	huyse_verdict	huyse_check_note	text_flags	huyse_flags	link_flags	review_flags	action_needed	resolution	n_flags
abarshahr	Abaršahr	region	certain	1	3	ἀνωτάτω ἔθνη	Abaršahr	Abaršahr	952057	https://pleiades.stoa.org/places/952057	Abarshahr	Q1452946	http://www.wikidata.org/entity/Q1452946	Abarshahr	36.202448	58.798373	pleiades		"Gk. ἀνωτάτω ἔθνη ""uppermost lands""; Sasanian province around Nishapur"	ἀνωτάτω	Adv.	118	note	this is the entry behind ἀνωτάτω ἔθνη = Abaršahr; Huyse files it as an adverb, not as a place lemma		huyse-parthian-restored					1
abrenag	Abrēnag	unidentified	unidentified	1	41	Ἀβρηναχ	Abrēnag	Abrēnag											Kingdom of Sātarop (l. 41); not localizable	Ἀβρηναχ	LN	114	consistent				no-pleiades;no-wikidata;no-coordinates;identification-unidentified				4
adana	Adana (Antiochia ad Sarum)	settlement	certain	1	25	Ἄδανα	Adāniyā	Adāniyā	648548	https://pleiades.stoa.org/places/648548	Adana/Antiochia ad Sarum	Q66336728	http://www.wikidata.org/entity/Q66336728	Antiochia ad Sarum	36.9949537	35.3325011	pleiades			Ἄδανα	ON	115	consistent								0
adiabene	Nōdšīragān (Adiabene)	region	certain	2	2;44	Ἀδιαβηνήν; Ἀδιαβηνῆς	Nōdšīragān	Nōdšīragān; Nodšīragān	893935	https://pleiades.stoa.org/places/893935	Adiabene	Q149747	http://www.wikidata.org/entity/Q149747	Adiabene	36.1913213311	44.0093823647	pleiades			Ἀδιαβηνή	LN	115	consistent			huyse-mp-restored;huyse-parthian-restored					2
aegeae	Aegeae (Yumurtalık)	settlement	certain	1	24	Aἰγέαν	Āygā	Aygiyā	658368	https://pleiades.stoa.org/places/658368	Aigai(ai)/Aegeae	Q404231	http://www.wikidata.org/entity/Q404231	Aegae	36.769676	35.789487	pleiades			Αἰγέα	ON	115	consistent			huyse-mp-restored					1
alans-gate	Gate of the Alans (Darial Pass)	pass	probable	1	2	Ἀλανῶν	Alānān	Alānān	863824	https://pleiades.stoa.org/places/863824	Kaspiai Pylai/Caucasiae Portae	Q1165879	http://www.wikidata.org/entity/Q1165879	Darial Gorge	42.744722	44.6225	pleiades		Gk. πυλῶν Ἀλανῶν; Pleiades Kaspiai Pylai / Caucasiae Portae	Ἀλανοί	VN	116	consistent			huyse-mp-restored					1
alexandria-issum	Alexandria ad Issum (İskenderun)	settlement	probable	2	14;24	Ἀλεξάνδριαν	Alexsandariyā	Alexsandariyā	658371	https://pleiades.stoa.org/places/658371	Alexandria ad Issum	Q174341	http://www.wikidata.org/entity/Q174341	İskenderun	36.5841815	36.173273	pleiades		l. 14 occurrence less secure than l. 24 (Ἀλεξάνδριαν τὴν κατ’ Ἰσὸν)	Ἀλεξάνδρια	ON	116	consistent			huyse-mp-restored					1
amastris	Amastris	settlement	uncertain	1	19	Ἁμαστρίας	Astriyā≺-≻	*Astriyā	844856	https://pleiades.stoa.org/places/844856	Amastris/Sesamos	Q16329209	http://www.wikidata.org/entity/Q16329209	Amastris	41.746969	32.385648	pleiades		Gk. Ἁμαστρίας among the provincial contingents	Ἀμαστρία	LN	116	note	Huyse treats the Greek form as an error for Asturia, NOT for Amastris	mp-reconstructed;parthian-emended	huyse-error-for;huyse-query;huyse-mp-restored	identification-uncertain				6
anatha	Anatha (Ana)	settlement	certain	1	11	Ἀναθαν	Ānā̆t	Ānāt	668196	https://pleiades.stoa.org/places/668196	Aracha/Anatha/‘Harae’				34.671287	38.582516	pleiades		Euphrates town; Pleiades Aracha/Anatha	Ἄναθα	ON	116	consistent			huyse-mp-restored	no-wikidata				2
anazarbus	Anazarbus	settlement	certain	1	26	Ἀγρίππαν	Anazarbos	Anazarbos	658378	https://pleiades.stoa.org/places/658378	Anazarbos/Caesarea/Ioustin(ian)oupolis	Q219525	http://www.wikidata.org/entity/Q219525	Anazarbus	37.256021	35.898447	pleiades		Gk. Ἀγρίππαν; the Iranian versions preserve Anazarbos	Ἀγρίππας	ON	114	consistent			huyse-mp-restored					1
andegan	Andēgān	unidentified	unidentified	2	42;46	Ἰνδηγαν; Ἀνδηγαν	Andēgān; Andēgan	Andēgān											Lordship of Narseh (ll. 42, 46)	Ἀνδηγαν ; Ἰνδηγαν	ON	117	consistent				no-pleiades;no-wikidata;no-coordinates;identification-unidentified				4
anemurium	Anemurium	settlement	certain	1	27	Ἀνεμοῦριν	Anīmūrīn	Anīmūrīn	648557	https://pleiades.stoa.org/places/648557	Anemurium	Q529237	http://www.wikidata.org/entity/Q529237	Anemurium	36.0242631342	32.8032861214	pleiades			Ἀνεμούριον	ON	117	consistent			huyse-mp-restored					1
aneran	Anērān (the non-Iranian lands)	people	unidentified	2	1;30	Ἀναριανῶν; Ἀναριανων	Anērān	Anērān											Huyse files Ἀναριανοί as VN, a name of a people - exactly as he files Ἀριανοί, which this layer maps as Ērānšahr. No position can be given.	Ἀναριανοί	VN	117	consistent			huyse-mp-restored	no-pleiades;no-wikidata;no-coordinates;identification-unidentified			We had called it 'not a place'; Huyse treats it as a legitimate name of the same kind as Ἀριανοί. Reclassified as a people with no determinate location, so the corpus #LOCderiv tag is correct after all and needs no retagging.	5
antioch-orontes	Antiochia on the Orontes	settlement	certain	1	13	Ἀντιόχιαν	Andiyō̆k	Andiyōk	658381	https://pleiades.stoa.org/places/658381	Antiochia/Theoupolis	Q200441	http://www.wikidata.org/entity/Q200441	Antioch	36.2225515	36.183214	pleiades			Ἀντιόχια	ON	118	confirms	confirms the two-referent split: grI 15 = Antioch on the Orontes, grI 31 = Antiochia ad Cragum		huyse-mp-restored					1
antiochia-cragum	Antiochia ad Cragum	settlement	probable	1	27	Ἀντιόχιαν	Andiyō̆kiyā	Andiyōk	648560	https://pleiades.stoa.org/places/648560	Antiochia ad Cragum	Q579389	http://www.wikidata.org/entity/Q579389	Antiochia ad Cragum	36.15330295	32.42913835	pleiades		Huyse: not Antioch on the Orontes; Cilicia Tracheia context	Ἀντιόχια	ON	118	confirms	confirms the two-referent split: grI 15 = Antioch on the Orontes, grI 31 = Antiochia ad Cragum		huyse-mp-restored					1
apamea-orontes	Apamea on the Orontes	settlement	certain	1	12	Ἀπαμίαν	Apōmiyā	*Apōmiyā	668335	https://pleiades.stoa.org/places/668335	Pella/Apamea	Q617550	http://www.wikidata.org/entity/Q617550	Apamea	35.4213771436	36.4024132802	pleiades			Ἀπάμια	ON	118	consistent		mp-reconstructed	huyse-mp-restored					2
arabia-petraea	Arabia (Roman province)	province	certain	1	21	Ἀραβίας	Arabiyā	Arabiyā	1001942	https://pleiades.stoa.org/places/1001942	Arabia	Q221353	http://www.wikidata.org/entity/Q221353	Arabia Petraea	32.5	37.5	pleiades		Contingent in Valerian's army (l. 21)	Ἀραβία	LN	118	confirms	continues on gl_119_L; confirms the two-referent split (grI 2 = Arbāyestān / Beth Arbaye, the other = provincia Arabia)		huyse-mp-restored;huyse-parthian-restored					2
areia	Harēw (Areia / Herat)	region	certain	1	3	Ῥην	Harēw	Harēw	961881	https://pleiades.stoa.org/places/961881	Ar(e)ia	Q654243	http://www.wikidata.org/entity/Q654243	Aria Satrapy	34.0775091826	62.3001473611	pleiades		The city of Herat = Pleiades 961874	Ῥη	LN	159	consistent			huyse-mp-restored					1
aristia	Arethusa (ar-Rastan)	settlement	certain	1	15	Ἀριστίαν	Aristōn	Aristōn	668199	https://pleiades.stoa.org/places/668199	Areth(o)usa	Q1867822	http://www.wikidata.org/entity/Q1867822		34.960169	36.735111	pleiades		Huyse: Ἀριστία steht für Ἀρέθουσα, h. ar. ar-Rastan on the Orontes. Not BAtlas 62's unlocated Aristeia/Aristion (Pleiades 614608), which this record used to point at.	Ἀριστία	ON	119	corrects	CORRECTION: Aristia = Arethusa, modern ar-Rastan on the Orontes — not the unlocated ‘Aristeia/Aristion’ of BAtlas 62		huyse-mp-restored				Huyse names Arethusa/ar-Rastan without hesitation, so the link moves and the certainty rises from uncertain to certain.	1
armenaza	Armenaza (Armanaz)	settlement	uncertain	1	13	Λαρμέναζα	Armenāž	Armenāz											Gk. Λαρμέναζα; not in Pleiades	Λαρμέναζα	ON	145	confirms	confirms the identification with modern Armenāz (Syria); no Pleiades record exists		huyse-mp-restored	no-pleiades;no-wikidata;no-coordinates;identification-uncertain				5
armenia	Armenia	region	certain	5	2;9;33;37;38	Ἀρμενίαν; Ἀρμενίας; Ἀρμενίων	Armin; Arminīn	Armin; Arminān	884120	https://pleiades.stoa.org/places/884120	Armenia	Q208404	http://www.wikidata.org/entity/Q208404	Kingdom of Armenia	39.5	46.5	pleiades			Ἀρμενία ; Ἀρμένιοι	LN	119	consistent			huyse-mp-restored					1
artangil	Artangil	unidentified	unidentified	1	17	Ἀρτανγιλλα	Artangiliyā	*Artangiliyā											Cappadocia / Armenia Minor context (l. 17)	Ἀρτανγιλλα (?)	ON	120	confirms	confirms ‘unidentified’ — Huyse states identification and localisation are not possible	mp-reconstructed	huyse-unlocated;huyse-query;huyse-mp-restored	no-pleiades;no-wikidata;no-coordinates;identification-unidentified				8
asia-province	Asia (Roman province)	province	certain	1	20	Ἀσίας	Āsāyā	Āsiyā	991380	https://pleiades.stoa.org/places/991380	Asia	Q210718	http://www.wikidata.org/entity/Q210718	Asia	37.5	27.5	pleiades			Ἀσία	LN	121	corrects	CORRECTION: the second Ἀσίας (grI 23 = corpus Line 21, the row whose Iranian cell is ‘- - - -’) is, per Huyse, an error for Osrhoene — not Asia		huyse-error-for;huyse-query;huyse-mp-restored;huyse-iranian-lost				Adopted by splitting the record: the l. 21 Ἀσίας is now its own place, Osrhoene, and Asia keeps the l. 20 occurrence. Nothing to change on this row.	4
asoristan	Asōristān (Babylonia)	region	certain	6	2;6;10;30	Συρίας; Ἀσσυρίαν; Ἀσσυρίᾳ; Ἀσσυρίας	Asūriyā; Asūrestān	Asūriyā; Asūrestān	912816	https://pleiades.stoa.org/places/912816	Babylonia	Q3627700	http://www.wikidata.org/entity/Q3627700	Asuristan	31.6283443083	45.4954067714	pleiades		Huyse reads grI 11 (corpus Line 10, Parth. ʾswryʾ) as Assyrien/Asūrestān.	Ἀσσυρία	LN	121	consistent		greek-absent	huyse-mp-restored;huyse-parthian-restored				Huyse reads grI 11 (corpus Line 10, Parth. ʾswryʾ) as Assyrien/Asūrestān, not the Roman province of Syria. That line now links to Asōristān; the Roman province keeps its other occurrences. Resolves the Syria/Isauria disagreement.	3
atropatene	Ādurbādagān (Media Atropatene)	region	certain	1	2	Ἀδουρβαδηνήν	Ādurbādegān	Ādurbāyagān	874597	https://pleiades.stoa.org/places/874597	Media Atropatene	Q260437	http://www.wikidata.org/entity/Q260437	Atropatene	38.0994972073	46.2170003377	pleiades			Ἀδουρβαδηνή	LN	115	note	the attestation line prints Ἀδουρβαλδηνήν (with λ), unlike the lemma		huyse-mp-restored;huyse-parthian-restored					2
